stop_name,latitude,longitude
NAZIONALE/TORINO,41.901880,12.494917
VILLA BORGHESE/WASHINGTON,41.912488,12.477478
NAZIONALE/QUATTRO FONTANE,41.900158,12.492297
NAZIONALE/PALAZZO ESPOSIZIONI,41.899134,12.490731
LITORANEA/VARCO 4,41.660834,12.411008
NAZIONALE/QUIRINALE,41.896970,12.487428
P.ZA VENEZIA,41.896823,12.482841
PIAZZA DELLA MARINA,41.915819,12.474329
FLAMINIA/VILLA GIULIA,41.917876,12.473426
ARGENTINA,41.896117,12.476847
C.SO VITTORIO EMANUELE/S. A. DELLA VALLE,41.896570,12.473886
ANKARA,41.924235,12.471758
LITORANEA/VARCO 3,41.665522,12.404811
TIZIANO/APOLLODORO,41.929396,12.469522
TIZIANO/XVII OLIMPIADE,41.932292,12.468375
C.SO VITTORIO EMANUELE/NAVONA,41.897191,12.471440
LITORANEA/VARCO 2,41.670664,12.398343
LGT THAON DI REVEL/P. MILVIO,41.934368,12.466742
LGT THAON DI REVEL/ROMANO,41.933146,12.464703
C.SO VITTORIO EMANUELE/TASSONI,41.898823,12.467488
PONTE VITTORIO EMANUELE,41.900456,12.465338
LGT THAON DI REVEL/DUCA D'AOSTA,41.931216,12.462502
LGT M.LLO DIAZ/DE BOSIS,41.932687,12.460698
LITORANEA/VARCO 1,41.672103,12.395828
LGT M.LLO DIAZ/PONTE MILVIO,41.935577,12.464806
LITORANEA/VARCO 1,41.671415,12.396655
C.SO FRANCIA/FLAMINIA,41.940808,12.471059
FLAMINIA/BEVAGNA,41.944959,12.472661
ACCIAIOLI,41.899737,12.464929
FLAMINIA/NITTI,41.946586,12.473798
FLAMINIA/MORLUPO,41.947717,12.476426
C.SO VITTORIO EMANUELE/TASSONI,41.898939,12.467079
FLAMINIA/CAPPELLI R.,41.948900,12.478445
CHIESA NUOVA,41.897479,12.469608
C.SO VITTORIO EMANUELE/NAVONA,41.896998,12.471763
FLAMINIA/MONTEROSI,41.950907,12.481096
LITORANEA/VARCO 2,41.669883,12.398996
LITORANEA/VARCO 3,41.664960,12.405086
P.ZA VENEZIA,41.896735,12.483121
NAZIONALE/QUIRINALE,41.897049,12.487835
FLAMINIA/CANTALUPO,41.954638,12.484855
NAZIONALE/PALAZZO ESPOSIZIONI,41.898451,12.489896
NAZIONALE/QUATTRO FONTANE,41.899983,12.492278
