Localizzazione1,STRADA1,Localizzazione2,STRADA2,Strada02,DaSpecificare,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,TipoVeicolo,StatoVeicolo,Marca,Modello,Deceduto,DecedutoDopo
Strada Urbana,VIA GIOVANNI ALDEGA,all'intersezione con,LARGO NICOLA SPINELLI,LARGO NICOLA SPINELLI,,0,0,0,2,12.49418,41.91673,Autobus urbano,In marcia / fermata / arresto, Mercedes ,CITARO,0,
Strada Urbana,VIA GIOVANNI ALDEGA,all'intersezione con,LARGO NICOLA SPINELLI,LARGO NICOLA SPINELLI,,0,0,0,2,12.49418,41.91673,Autovettura di polizia,In marcia / fermata / arresto,Fiat,Grande Punto,0,
Strada Urbana,VIALE REGINA MARGHERITA,all'intersezione semaforizzata con,VIA GARIGLIANO,VIA GARIGLIANO,,0,0,0,2,12.49946,41.91874,Autovettura privata,In marcia / fermata / arresto,Audi,A1,0,
Strada Urbana,VIALE REGINA MARGHERITA,all'intersezione semaforizzata con,VIA GARIGLIANO,VIA GARIGLIANO,,0,0,0,2,12.49946,41.91874,Vettura tranviaria,In marcia / fermata / arresto,SOCIMI,(ignoto),0,
Strada Urbana,VIA SALARIA,in corrispondenza,,del civico n.,,0,0,0,1,12.50925,41.93607,Motociclo a solo,In marcia / fermata / arresto,AGUSTA,BRUTALE,0,
Strada Urbana,VIALE DEL MURO TORTO,da specificare,,,alt. via di Porta Pinciana.,0,0,0,1,12.48784,41.90966,Motociclo a solo,In marcia / fermata / arresto,Moto Guzzi,(non accertato),0,
Strada Urbana,PIAZZALE DON GIOVANNI MINZONI,all'intersezione con,VIA GIUSEPPE MANGILI,VIA GIUSEPPE MANGILI,,0,0,0,2,12.48057,41.92068,Autovettura pubblica,In marcia / fermata / arresto,Dacia.,Duster,0,
Strada Urbana,PIAZZALE DON GIOVANNI MINZONI,all'intersezione con,VIA GIUSEPPE MANGILI,VIA GIUSEPPE MANGILI,,0,0,0,2,12.48057,41.92068,Autovettura privata,In marcia / fermata / arresto,Fiat,Panda,0,
Strada Urbana,VIA DELLA BUFALOTTA,all'intersezione con,VIA DI TOR S. GIOVANNI,VIA DI TOR S. GIOVANNI,,0,0,0,3,12.54978,41.96725,Autovettura di polizia,In marcia / fermata / arresto,Fiat,Bravo,0,
Strada Urbana,VIA DELLA BUFALOTTA,all'intersezione con,VIA DI TOR S. GIOVANNI,VIA DI TOR S. GIOVANNI,,0,0,0,3,12.54978,41.96725,Autovettura di polizia,In marcia / fermata / arresto,Fiat,Bravo,0,
Strada Urbana,VIA DELLA BUFALOTTA,all'intersezione con,VIA DI TOR S. GIOVANNI,VIA DI TOR S. GIOVANNI,,0,0,0,3,12.54978,41.96725,Autovettura privata,In marcia / fermata / arresto,Nissan,QASHQAI,0,
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione semaforizzata con,PIAZZA ELIO RUFINO,PIAZZA ELIO RUFINO,,5,0,0,0,12.47805,41.84598,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz,0,NON DECEDUTO
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione semaforizzata con,PIAZZA ELIO RUFINO,PIAZZA ELIO RUFINO,,5,0,0,0,12.47805,41.84598,Autovettura privata,In marcia / fermata / arresto,Chevrolet,Matiz,0,NON DECEDUTO
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione semaforizzata con,PIAZZA ELIO RUFINO,PIAZZA ELIO RUFINO,,5,0,0,0,12.47805,41.84598,Autovettura privata,In marcia / fermata / arresto,Ford,Transit,0,NON DECEDUTO
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione semaforizzata con,PIAZZA ELIO RUFINO,PIAZZA ELIO RUFINO,,5,0,0,0,12.47805,41.84598,Autovettura privata,In marcia / fermata / arresto,Ford,Transit,0,NON DECEDUTO
Strada Urbana,VIA CRISTOFORO COLOMBO,all'intersezione semaforizzata con,PIAZZA ELIO RUFINO,PIAZZA ELIO RUFINO,,5,0,0,0,12.47805,41.84598,Autovettura privata,In marcia / fermata / arresto,Ford,Transit,0,NON DECEDUTO
Strada Urbana,PIAZZA DEI MIRTI,all'intersezione con,VIA DEI PLATANI,VIA DEI PLATANI,,1,0,0,1,12.56703,41.88109,,,,,0,NON DECEDUTO
Strada Urbana,PIAZZA DEI MIRTI,all'intersezione con,VIA DEI PLATANI,VIA DEI PLATANI,,1,0,0,1,12.56703,41.88109,Autovettura privata,In marcia / fermata / arresto,Fiat-Lancia,Y,0,
Strada Urbana,VIA CAMPOSAMPIERO,da specificare,,,in prossimit� di Via Flaminia ,0,0,0,3,12.49309,41.94932,Autovettura privata,In marcia / fermata / arresto,Cherokee,Jeep,0,
Strada Urbana,VIA CAMPOSAMPIERO,da specificare,,,in prossimit� di Via Flaminia ,0,0,0,3,12.49309,41.94932,Autovettura privata,In marcia / fermata / arresto,Smart ,roadster,0,
Strada Urbana,VIA CAMPOSAMPIERO,da specificare,,,in prossimit� di Via Flaminia ,0,0,0,3,12.49309,41.94932,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo,0,
,VIALE GOTTARDO,da specificare,,,in corrispondenza di VIA MONTE SACRO,0,0,0,3,12.53550,41.93166,Autovettura privata,In marcia / fermata / arresto,Kia,Carnival,0,
,VIALE GOTTARDO,da specificare,,,in corrispondenza di VIA MONTE SACRO,0,0,0,3,12.53550,41.93166,Autovettura privata,In marcia / fermata / arresto,Kia,Carnival,0,
,VIALE GOTTARDO,da specificare,,,in corrispondenza di VIA MONTE SACRO,0,0,0,3,12.53550,41.93166,Autobus di linea,In marcia / fermata / arresto,Irisbus,(ignoto),0,
Strada Urbana,VIA DEL FORO ITALICO,da specificare,,,direzione Salaria,0,0,0,4,12.48375,41.93991,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA DEL FORO ITALICO,da specificare,,,direzione Salaria,0,0,0,4,12.48375,41.93991,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA DEL FORO ITALICO,da specificare,,,direzione Salaria,0,0,0,4,12.48375,41.93991,Autovettura privata,In marcia / fermata / arresto,Mini,Cooper,0,
Strada Urbana,VIA DEL FORO ITALICO,da specificare,,,direzione Salaria,0,0,0,4,12.48375,41.93991,Autovettura privata,In marcia / fermata / arresto,Mitsubishi,Pajero,0,
Regionale entro l'abitato,VIA CASSIA,in corrispondenza,,del civico n.,,0,0,0,2,12.42951,41.97320,Autovettura privata,In marcia / fermata / arresto,BMW,X1,0,
Regionale entro l'abitato,VIA CASSIA,in corrispondenza,,del civico n.,,0,0,0,2,12.42951,41.97320,Motociclo a solo,In marcia / fermata / arresto,Honda,SH 150,0,
Strada Urbana,PIAZZA DELLE CONIFERE,in prossimit�,,del civico n.,,0,0,0,2,12.56798,41.88236,Autovettura privata,In marcia / fermata / arresto,Fiat,500,0,
Strada Urbana,PIAZZA DELLE CONIFERE,in prossimit�,,del civico n.,,0,0,0,2,12.56798,41.88236,Autovettura privata,In marcia / fermata / arresto,Audi,A 4,0,
Strada Urbana,VIA DEI CASTANI,all'intersezione con,VIA DEI FAGGI,VIA DEI FAGGI,,1,0,0,1,12.56685,41.88410,Autovettura privata,In marcia / fermata / arresto,Toyota,Yaris,0,
Strada Urbana,VIA DEI CASTANI,all'intersezione con,VIA DEI FAGGI,VIA DEI FAGGI,,1,0,0,1,12.56685,41.88410,Motociclo a solo,In marcia / fermata / arresto,zhejiang qianjiang,keeway outlook,0,NON DECEDUTO
Strada Urbana,VIA ORESTE REGNOLI,all'intersezione con,VIA GIUSEPPE DEZZA,VIA GIUSEPPE DEZZA,,0,0,0,2,12.45973,41.88396,Autovettura privata,In marcia / fermata / arresto,Mercedes,Smart Fortwo Coup�,0,
Strada Urbana,VIA ORESTE REGNOLI,all'intersezione con,VIA GIUSEPPE DEZZA,VIA GIUSEPPE DEZZA,,0,0,0,2,12.45973,41.88396,Motociclo a solo,In marcia / fermata / arresto,Honda,Africa Twin,0,
Strada Urbana,LUNGOTEVERE DELLA FARNESINA,in prossimit�,,del civico n.,,0,0,0,3,12.46908,41.89281,Autovettura privata,In marcia / fermata / arresto,Smart ,-,0,
Strada Urbana,LUNGOTEVERE DELLA FARNESINA,in prossimit�,,del civico n.,,0,0,0,3,12.46908,41.89281,Autovettura privata,In marcia / fermata / arresto,Smart ,-,0,
Strada Urbana,LUNGOTEVERE DELLA FARNESINA,in prossimit�,,del civico n.,,0,0,0,3,12.46908,41.89281,Motociclo a solo,In marcia / fermata / arresto,Piaggio,Vespa,0,
Strada Urbana,VIA FARINI,all'intersezione semaforizzata con,VIA GIOBERTI,VIA GIOBERTI,,1,0,0,1,12.49896,41.89865,,,,,0,NON DECEDUTO
Strada Urbana,VIA FARINI,all'intersezione semaforizzata con,VIA GIOBERTI,VIA GIOBERTI,,1,0,0,1,12.49896,41.89865,Macchina operatrice,In marcia / fermata / arresto,Fiat,Iveco,0,
