stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
72212,72212,BRAGAGLIA,30 M. PRIMA VIA CASSIA FRONTE CENTRO COMMERCIALE,42.021893,12.376369,,http://muovi.roma.it/percorso/js?query=72212&cl=1,,,Europe/Rome,0
72213,72213,SERAFICO/REGISTRI IMMOBILIARI,8 M. PRIMA DEL CIVICO 137,41.830738,12.490239,,http://muovi.roma.it/percorso/js?query=72213&cl=1,,,Europe/Rome,0
72214,72214,CASSIA/BELARDINELLI,10 M. PRIMA PARMENIO BETTOLI PRIMA CIVICO 1841         S.S.2,42.018300,12.376760,,http://muovi.roma.it/percorso/js?query=72214&cl=1,,,Europe/Rome,0
72215,72215,CASSIA/CERQUETTA,ALTEZZA KM. 18+000 SINISTRA ALTEZZA CIVICO 1825        S.S.2,42.015618,12.376814,,http://muovi.roma.it/percorso/js?query=72215&cl=1,,,Europe/Rome,0
72216,72216,CASSIA/ISOLA FARNESE,ALTEZZA KM. 17+740 SINISTRA PRIMA CIVICO 1811          S.S.2,42.013310,12.377131,,http://muovi.roma.it/percorso/js?query=72216&cl=1,,,Europe/Rome,0
72217,72217,CASSIA/DE BENEDETTI,ALTEZZA KM. 17+500 SINISTRA PRIMA CIVICO 1785          S.S.2,42.011131,12.377520,,http://muovi.roma.it/percorso/js?query=72217&cl=1,,,Europe/Rome,0
72219,72219,CELINE,50 M. DOPO VIA LAURENTINA ALTEZZA CIVICO 786,41.809306,12.484137,,http://muovi.roma.it/percorso/js?query=72219&cl=1,,,Europe/Rome,0
72220,72220,CASSIA/EX DAZIO,ALTEZZA KM. 17+110 SINISTRA FRONTE CIVICO 1714  S.S.2-IC G10,42.007908,12.379550,,http://muovi.roma.it/percorso/js?query=72220&cl=1,,,Europe/Rome,0
72221,72221,CLODIO,CORSIA CENTRALE - CAPOLINEA 89,41.917213,12.455082,,http://muovi.roma.it/percorso/js?query=72221&cl=1,,,Europe/Rome,0
72222,72222,CASSIA/BACCARICA,ALTEZZA KM.16+760 SINISTRA DOPO SBOCCO VIA COLLINENSE  S.S.2,42.004711,12.380616,,http://muovi.roma.it/percorso/js?query=72222&cl=1,,,Europe/Rome,0
72224,72224,CASSIA/CASALI DEL PINO,ALTEZZA KM.15+585 SINISTRA PRIMA CIVICO 1521           S.S.2,41.996776,12.389584,,http://muovi.roma.it/percorso/js?query=72224&cl=1,,,Europe/Rome,0
72225,72225,C.NE CLODIA/GIULIANA,45 M. PRIMA VIA MARIO AMATO ALTEZZA CIVICO 15,41.915064,12.452430,,http://muovi.roma.it/percorso/js?query=72225&cl=1,,,Europe/Rome,0
72226,72226,C.NE TRIONFALE/VIA TRIONFALE,60 M. DOPO VIA TRIONFALE  ALTEZZA CIVICO 115,41.913558,12.450803,,http://muovi.roma.it/percorso/js?query=72226&cl=1,,,Europe/Rome,0
72227,72227,CASSIA/BARBANTINI,ALTEZZA KM.14+975 SINISTRA DOPO CIVICO 1451            S.S.2,41.992704,12.394567,,http://muovi.roma.it/percorso/js?query=72227&cl=1,,,Europe/Rome,0
72228,72228,CASSIA/R. MORETTI,ALTEZZA KM.14+635 SINISTRA FRONTE CIVICO 1468          S.S.2,41.990831,12.397414,,http://muovi.roma.it/percorso/js?query=72228&cl=1,,,Europe/Rome,0
72229,72229,CASSIA/LABRANCA,ALTEZZA KM.14+215 SINISTRA DOPO SBOCCO VIA LABRANCA    S.S.2,41.988163,12.400810,,http://muovi.roma.it/percorso/js?query=72229&cl=1,,,Europe/Rome,0
72230,72230,CASSIA/BASSANO ROMANO,"ALTEZZA KM.13,825 SINISTRA DOPO VIA BASSANO ROMANO     S.S.2",41.985794,12.404792,,http://muovi.roma.it/percorso/js?query=72230&cl=1,,,Europe/Rome,0
72233,72233,C.NE TRIONFALE/CAMPANELLA,20 M. DOPO VIA PASSAGLIA  10 M.DOPO CIVICO 23,41.910401,12.449099,,http://muovi.roma.it/percorso/js?query=72233&cl=1,,,Europe/Rome,0
72236,72236,CIPRO (MA-H),20 M. DOPO PLE DEGLI EROI,41.908459,12.447820,,http://muovi.roma.it/percorso/js?query=72236&cl=1,,,Europe/Rome,0
72237,72237,CASSIA/LEGA,ALTEZZA KM.12+510 SINISTRA DOPO FRONTE CIVICO 1170     S.S.2,41.979531,12.417630,,http://muovi.roma.it/percorso/js?query=72237&cl=1,,,Europe/Rome,0
72238,72238,CASSIA/MONTE PELOSO,40 M. PRIMA SBOCCO VIA MONTEPELOSO FRONTE CIV.1142/B   S.S.2,41.978789,12.420400,,http://muovi.roma.it/percorso/js?query=72238&cl=1,,,Europe/Rome,0
72240,72240,CIPRO/BRAGADIN,20 M. DOPO VIA DELLA MELORIA CIVICO 50,41.906770,12.446174,,http://muovi.roma.it/percorso/js?query=72240&cl=1,,,Europe/Rome,0
72241,72241,CASSIA/BRACCIANO,80 M. DOPO SBOCCO VIA BRACCIANO DOPO CIVICO 1009,41.973528,12.429209,,http://muovi.roma.it/percorso/js?query=72241&cl=1,,,Europe/Rome,0
72242,72242,LAURENTINA (MB),I CORSIA DA DX - CAPOLINEA 776,41.826669,12.480988,,http://muovi.roma.it/percorso/js?query=72242&cl=1,,,Europe/Rome,0
72243,72243,CIPRO/AMMIRAGLI,25 M. PRIMA VLE DEGLI AMMIRAGLI CIVICO 114,41.905751,12.445117,,http://muovi.roma.it/percorso/js?query=72243&cl=1,,,Europe/Rome,0
72244,72244,NEWTON/CASTELLINA MARITTIMA,40 M. PRIMA SBOCCO VIA CASTELLINA MARITTIMA,41.852173,12.441485,,http://muovi.roma.it/percorso/js?query=72244&cl=1,,,Europe/Rome,0
72245,72245,ANASTASIO II/DE CRISTOFARO,30 M. PRIMA VIA P.DE CRISTOFARO,41.904287,12.443450,,http://muovi.roma.it/percorso/js?query=72245&cl=1,,,Europe/Rome,0
72247,72247,ANASTASIO II/RICHELMY,ALTEZZA CIVICO 113,41.897350,12.441257,,http://muovi.roma.it/percorso/js?query=72247&cl=1,,,Europe/Rome,0
72248,72248,CASSIA/SESTO MIGLIO,40 M. DOPO SBOCCO VIA SESTO MIGLIO PRIMA CIVICO 811,41.966810,12.440131,,http://muovi.roma.it/percorso/js?query=72248&cl=1,,,Europe/Rome,0
72249,72249,CASSIA/TOMBA DI NERONE,30 M. DOPO VIA TOMBA DI NERONE PRIMA CIVICO 721,41.964672,12.444356,,http://muovi.roma.it/percorso/js?query=72249&cl=1,,,Europe/Rome,0
72250,72250,ANASTASIO II/PIO XI,40 M. PRIMA PZA PIO XI,41.895677,12.438475,,http://muovi.roma.it/percorso/js?query=72250&cl=1,,,Europe/Rome,0
72252,72252,LEONE XIII/PIO XI,65 M. DOPO VIA GREGORIO VII,41.893146,12.437390,,http://muovi.roma.it/percorso/js?query=72252&cl=1,,,Europe/Rome,0
72253,72253,CASSIA/VAL GARDENA,10 M. DOPO FRONTE CIVICO 370,41.955158,12.456619,,http://muovi.roma.it/percorso/js?query=72253&cl=1,,,Europe/Rome,0
72254,72254,LEONE XIII/SPINA,50 M. DOPO V.LE ROSA LUXEMBURG,41.887284,12.440348,,http://muovi.roma.it/percorso/js?query=72254&cl=1,,,Europe/Rome,0
72255,72255,LEONE XIII/VILLA PAMPHILI,ALTEZZA L.GO MARTIN LUTHER KING,41.881863,12.440416,,http://muovi.roma.it/percorso/js?query=72255&cl=1,,,Europe/Rome,0
72256,72256,DON BORGHI/FILIPPINI,45 M. DOPO CIVICO 175,41.810264,12.444240,,http://muovi.roma.it/percorso/js?query=72256&cl=1,,,Europe/Rome,0
72257,72257,DON BORGHI/FILIPPINI,20 M. DOPO CIVICO 178,41.810832,12.443769,,http://muovi.roma.it/percorso/js?query=72257&cl=1,,,Europe/Rome,0
72258,72258,NEMEA/GIUOCHI DELFICI,35 M. DOPO VIA ZANDONAI,41.947610,12.461786,,http://muovi.roma.it/percorso/js?query=72258&cl=1,,,Europe/Rome,0
72259,72259,NEMEA/ORTI FARNESINA,25 M.PRIMA SBOCCO VIA ORTI DELLA FARNESINA,41.946723,12.458447,,http://muovi.roma.it/percorso/js?query=72259&cl=1,,,Europe/Rome,0
72261,72261,NEWTON/ALBERESE,STRADA COMPLANARE - 25 M. PRIMA CAVALCAVIA PER V.S.B.CAMPANO,41.847799,12.443389,,http://muovi.roma.it/percorso/js?query=72261&cl=1,,,Europe/Rome,0
72262,72262,PAMPANINI/LABIA,65 M. PRIMA LGO F.LABIA,41.970129,12.519337,,http://muovi.roma.it/percorso/js?query=72262&cl=1,,,Europe/Rome,0
72263,72263,PAMPANINI/LABIA,105 M. DOPO LGO F.LABIA ALTEZZA CAPILINEA ATAC,41.970184,12.519856,,http://muovi.roma.it/percorso/js?query=72263&cl=1,,,Europe/Rome,0
72267,72267,MONTE URANO/APECCHIO,60 M. PRIMA VIA APECCHIO - 20 M. PRIMA CIVICO 73,41.982748,12.513831,,http://muovi.roma.it/percorso/js?query=72267&cl=1,,,Europe/Rome,0
72268,72268,S. VITTORINO,15 M. DOPO VIA DELLA MOLA SUL PIAZZALE ESISTENTE - CAPOLINEA 042PS-C9,41.913908,12.789166,,http://muovi.roma.it/percorso/js?query=72268&cl=1,,,Europe/Rome,0
72269,72269,BEL RESPIRO,35 M. DOPO VIA VITELLIA,41.880299,12.441259,,http://muovi.roma.it/percorso/js?query=72269&cl=1,,,Europe/Rome,0
72270,72270,LEONE XIII/SPINA,25 M. PRIMA V.LE ROSA LUXEMBURG,41.887696,12.440709,,http://muovi.roma.it/percorso/js?query=72270&cl=1,,,Europe/Rome,0
72271,72271,LEONE XIII/PIO XI,50 M. PRIMA VIA GREGORIO VII,41.893378,12.437648,,http://muovi.roma.it/percorso/js?query=72271&cl=1,,,Europe/Rome,0
72272,72272,ANASTASIO II/PIO XI,50 M. DOPO PZA PIO XI,41.895623,12.438786,,http://muovi.roma.it/percorso/js?query=72272&cl=1,,,Europe/Rome,0
72273,72273,ANASTASIO II/RICHELMY,ALTEZZA CIVICO 124,41.897196,12.441952,,http://muovi.roma.it/percorso/js?query=72273&cl=1,,,Europe/Rome,0
72274,72274,VALLE AURELIA (MA),40 M. DOPO VIA G.BARTOLO,41.904141,12.443696,,http://muovi.roma.it/percorso/js?query=72274&cl=1,,,Europe/Rome,0
72275,72275,CIPRO/AMMIRAGLI,20 M. DOPO VIA DEGLI AMMIRAGLI CIVICO 87,41.905563,12.445350,,http://muovi.roma.it/percorso/js?query=72275&cl=1,,,Europe/Rome,0
72276,72276,CIPRO/BRAGADIN,40 M. DOPO VIA BRAGADIN,41.906625,12.446394,,http://muovi.roma.it/percorso/js?query=72276&cl=1,,,Europe/Rome,0
